Zip Code;Population;
33012;75666;
33024;75306;
33023;73671;
33311;73034;
33025;71763;
33411;71587;
33186;70614;
34953;69685;
33157;68402;
33647;67730;
33015;66272;
32828;65665;
32765;65151;
34787;64723;
33313;62405;
33463;62043;
32218;61846;
32825;61550;
32210;61496;
33125;61492;
33064;61397;
33414;61301;
32822;60781;
32244;60712;
34711;60564;
33027;60191;
33142;58574;
33033;58224;
33177;58129;
33511;57642;
32808;57443;
33065;57399;
32068;57226;
33458;56642;
33165;56133;
33161;55663;
32818;55586;
33175;55334;
34744;55210;
32771;54980;
33063;54937;
32162;54530;
32225;54496;
32837;54051;
33312;53552;
33467;53339;
33126;52987;
33018;52526;
33176;52461;
32839;52371;
33196;51752;
33068;51617;
33415;51582;
33178;51459;
33193;51378;
32246;51275;
33016;51003;
32703;50992;
32792;50991;
32174;50869;
32303;50436;
33810;50302;
32259;49969;
33578;49634;
33021;49350;
33612;49312;
32608;48905;
33324;48807;
33162;48185;
33614;48029;
32725;48008;
33321;47974;
33029;47895;
33147;47834;
32304;47787;
33155;47450;
34668;47309;
33010;47231;
33032;47067;
33319;47021;
32712;46662;
32824;46545;
33461;46344;
34135;46064;
32835;46058;
33610;45963;
34741;45920;
32738;45881;
33615;45851;
32256;45688;
33617;45652;
34761;45639;
33179;45243;
32164;45207;
32708;44826;
32514;44759;
33020;44578;
34743;44335;
34221;44294;
33436;44249;
32907;44097;
34997;44018;
32137;43813;
32224;43751;
34786;43458;
33055;43405;
34746;43249;
32746;43232;
33172;43083;
34983;42737;
32073;41863;
33134;41861;
32935;41550;
33169;41525;
33880;41346;
33014;41316;
33009;41276;
34609;41250;
32811;41246;
33428;41189;
33160;41113;
34758;41094;
33309;40926;
33418;40225;
34952;40063;
32404;40029;
33141;40005;
33433;39954;
34759;39850;
33071;39839;
33135;39789;
33619;39747;
34208;39538;
32940;39396;
34655;39385;
32810;39384;
34748;39230;
32955;39127;
33322;39049;
33437;38921;
34698;38909;
33604;38690;
32257;38651;
33624;38618;
33139;38606;
33317;38360;
32566;38112;
32216;38073;
34293;37969;
34203;37632;
33183;37504;
33914;37375;
32714;37223;
33813;37211;
33060;37168;
32065;37160;
33905;37081;
32506;36923;
34207;36738;
33076;36600;
34116;36531;
32826;36464;
33435;36423;
33056;36409;
32526;36300;
33908;36071;
32724;36047;
32207;35917;
33030;35701;
33410;35597;
33351;35581;
33594;35465;
32209;35436;
32780;35399;
32571;35388;
32707;35369;
32817;35317;
33801;35305;
33844;35280;
32812;35101;
34653;35015;
33613;34941;
34785;34933;
32034;34928;
32084;34892;
34209;34794;
33040;34784;
33073;34652;
32092;34642;
34232;34639;
32211;34607;
32503;34520;
34608;34476;
33133;34460;
32807;34306;
33579;34271;
33156;34167;
33174;34015;
34667;33960;
33710;33883;
33409;33875;
33952;33662;
33756;33649;
33127;33464;
33881;33463;
32547;33339;
33417;33287;
33462;33173;
34683;33162;
33013;32980;
33326;32946;
32114;32923;
33990;32901;
32312;32864;
32578;32833;
33460;32688;
34205;32534;
34120;32502;
33713;32350;
33173;32307;
33445;32261;
34266;32246;
34243;32235;
33143;32197;
32208;32194;
33823;32139;
33884;32069;
32405;32064;
33054;32035;
32277;32029;
32258;31990;
33180;31883;
33904;31859;
32720;31819;
33611;31791;
34472;31632;
34119;31632;
32309;31610;
33909;31467;
33145;31465;
32507;31288;
32904;31206;
33026;31045;
33185;30959;
32773;30955;
34142;30955;
33407;30928;
32082;30898;
32909;30798;
32570;30768;
33919;30764;
34772;30746;
32301;30712;
32607;30624;
33702;30562;
32127;30415;
33771;30346;
34231;30267;
33144;30235;
32221;30227;
33809;30137;
32159;30135;
34990;30101;
33596;30015;
33626;29964;
33138;29867;
33150;29839;
32779;29737;
33803;29675;
32086;29568;
32205;29499;
33334;29478;
33917;29439;
32539;29265;
33168;29072;
33325;28987;
33442;28846;
34684;28784;
33328;28782;
33404;28717;
32583;28585;
32003;28531;
32327;28319;
33401;28287;
32809;28258;
33510;28176;
33308;27951;
33563;27875;
33570;27821;
33130;27818;
33067;27784;
32806;27768;
32958;27676;
32533;27632;
33069;27612;
33544;27606;
33705;27596;
34112;27543;
34287;27532;
34639;27522;
34689;27496;
33830;27476;
32819;27442;
33569;27428;
33837;27428;
33971;27255;
33028;27235;
32168;27186;
33584;27153;
32937;27126;
33618;27081;
33441;27050;
32250;26956;
33189;26937;
33406;26858;
32927;26687;
32757;26679;
32789;26568;
33825;26526;
34638;26512;
32962;26469;
33470;26384;
32177;26377;
34986;26317;
33764;26282;
34606;26274;
33625;26242;
33314;26188;
33543;26172;
33484;26146;
33629;25999;
34982;25981;
33331;25854;
33805;25709;
33770;25688;
33712;25674;
32563;25550;
33703;25457;
33709;25455;
33755;25445;
34482;25244;
33860;25150;
33707;25143;
33781;25059;
33967;25041;
34769;25018;
33446;24983;
32505;24965;
32043;24952;
34491;24936;
34471;24898;
33993;24856;
33166;24830;
33547;24813;
32901;24772;
32605;24684;
33928;24682;
34109;24662;
32117;24602;
32233;24473;
32750;24389;
32832;24325;
33907;24198;
32953;24181;
34974;24163;
33486;24146;
34104;24121;
32223;24039;
34110;24008;
33137;23965;
33913;23816;
33607;23813;
34219;23792;
33936;23787;
33444;23770;
32060;23768;
32606;23766;
33327;23762;
34202;23739;
33916;23438;
32536;23426;
34652;23409;
32905;23395;
33034;23281;
33426;23155;
32763;23098;
32504;23080;
34957;23078;
33782;23052;
34654;23021;
33556;22978;
33558;22843;
33634;22733;
34476;22665;
33430;22603;
32401;22566;
33772;22517;
32308;22441;
33455;22415;
33573;22412;
32119;22398;
32726;22377;
32025;22374;
33991;22354;
32926;22350;
34677;22152;
32129;22149;
33903;22122;
32751;22073;
33950;22017;
33062;22014;
32701;21997;
33935;21968;
32080;21943;
34234;21865;
34601;21847;
33496;21825;
33140;21807;
33870;21760;
34714;21743;
33811;21739;
33184;21733;
32444;21730;
34113;21409;
32778;21406;
32548;21315;
33852;21202;
33323;21195;
32967;21111;
33542;21101;
33603;21044;
32311;21038;
