zipCode,Female,Male
00601,37968,36312
00602,84496,81584
00603,112368,106388
00606,13388,13072
00610,59648,56416
00612,141100,126940
00616,22796,21272
00617,51080,47308
00622,16280,15132
00623,89832,82412
00624,53632,51332
00627,72488,68148
00631,3796,3612
00637,52876,48272
00638,38444,37320
00641,63768,60996
00646,79476,73320
00647,12576,12112
00650,30852,29140
00652,9572,9288
00653,27684,25544
00656,44212,41712
00659,86628,81184
00660,36892,32108
00662,89016,84112
00664,33592,33544
00667,53020,50852
00669,60492,58484
00670,19820,19408
00674,93060,84768
00676,82152,79112
00677,31432,29656
00678,56956,54320
00680,120600,111960
00682,68116,62344
00683,69700,65388
00685,87640,83684
00687,65460,64980
00688,26408,27764
00690,12816,12204
00692,78180,71864
00693,126684,117468
00694,584,728
00698,86236,80892
00703,58260,56160
00704,17800,16508
00705,52688,49704
00707,24744,24156
00714,41352,36912
00715,7724,6900
00716,72964,62152
00717,41652,32176
00718,55348,51076
00719,62612,61348
00720,45912,46604
00723,39044,38064
00725,189880,167616
00727,122864,110664
00728,87292,92340
00729,111464,103536
00730,75324,67644
00731,31452,30644
00735,28948,25972
00736,106408,99720
00738,73812,65876
00739,81048,77664
00740,4448,3836
00741,10628,9256
00745,112712,107536
00751,47400,45116
00754,83224,80088
00757,48088,44964
00765,18384,18008
00766,53708,52244
00767,77892,74184
00769,82572,78420
00771,79160,74416
00772,48564,43856
00773,42100,38172
00775,3524,3620
00777,84832,77904
00778,94676,87040
00780,28228,26972
00782,38844,38372
00783,74928,71300
00784,89208,89340
00786,724,704
00791,112048,101620
00794,62068,60272
00795,100908,94036
00901,14180,14140
00906,4,12
00907,36572,33260
00909,13288,11632
00911,18256,16236
00912,14932,12272
00913,20752,16496
00915,68616,62664
00917,44716,39496
00918,40968,31256
00920,39064,32508
00921,83336,67716
00923,63232,53112
00924,124312,102452
00925,17348,17436
00926,234628,200820
00927,33488,26256
00934,564,588
00936,964,1760
00949,173068,156044
00950,20,16
00951,72,68
00952,20884,19148
00953,150576,141480
00956,165416,151800
00957,97776,84944
00959,109816,92424
00960,60,7056
00961,67496,62220
00962,47580,42384
00965,18804,17732
00966,36464,30240
00968,8256,5656
00969,91224,77652
00971,63280,60664
00976,137028,123516
00979,36696,31424
00982,35860,29852
00983,84932,72004
00985,78344,67868
00987,135180,119464
01001,35696,31380
01002,60396,55800
01003,20188,21300
01005,10036,10280
01007,30064,28532
01008,2440,2612
01009,1420,1544
01010,7276,7160
01011,2656,2824
01012,1308,1336
01013,49144,43608
01020,61260,57412
01022,5180,4624
01026,1896,1888
01027,37032,33608
01028,33276,29604
01029,1508,1648
01030,23688,22988
01031,2608,2624
